,Euler | fixed step | 0.01,Euler | adapt step | 0.01,Runge-Kutta | fixed step | 0.01,Runge-Kutta | adapt step | 0.01
0,0.0,0.0,0.0,0.0
1,-0.02001585106379,-0.0007175563137059678,-0.016746686745465963,-0.004770968810204117
2,-0.04003170212758,-0.0014342073950202312,-0.027921491504768588,-0.009177436269032717
3,-0.05675431321641604,-0.002151057267329966,-0.03735865714094788,-0.014501107438582315
4,-0.0723577698167093,-0.0028685934994889814,-0.045888375824776256,-0.019401633228818972
5,-0.08717331291337635,-0.003587754596891404,-0.05382034058060256,-0.025332024963094345
6,-0.10126935003379323,-0.004309968514810368,-0.06130648252299709,-0.031624792848505195
7,-0.11466496917753342,-0.005037115166954664,-0.06843316510411854,-0.037942142231233905
8,-0.12736402745307768,-0.005771451176298742,-0.07525418675114458,-0.039645765211493524
9,-0.1393638887968562,-0.00651553273829186,-0.08180517653747646,-0.019336758504570128
10,-0.15065833184051644,-0.007272156182794329,-0.08811075418616152,0.09345950484535913
11,-0.16123863198794913,-0.00804432243128941,-0.09418844301523309,0.3020104215040824
12,-0.17109392298962262,-0.008835224169600432,-0.10005096608298514,0.45388355669298797
13,-0.1802112036208409,-0.00964825188939351,-0.10570767084319996,0.5470656591859328
14,-0.18857511885601672,-0.010487014828597483,-0.1111654536668691,0.6049048152506327
15,-0.19616755269015573,-0.011355373707120387,-0.1164293823639086,0.7443695696523643
16,-0.20296702363535807,-0.012257483198580844,-0.12150312848505174,0.9515114573359141
17,-0.20894784159546395,-0.013197842970237243,-0.12638927546585385,1.1201959330108326
18,-0.2140789528178164,-0.014181356763885518,-0.13108954322092417,1.0412493820618878
19,-0.21832235995493304,-0.015213399364920872,-0.13560495500603947,0.8944652475045957
20,-0.22163094998226218,-0.01629989140517936,-0.1399359634493078,0.7780947985598402
21,-0.22394548646643192,-0.01744738172285171,-0.14408254710217971,0.6048473811742455
22,-0.22519041779034255,-0.018663136350941953,-0.14804428530736685,0.3744682643345588
23,-0.22526801988603185,-0.01995523191665409,-0.15182041684781353,0.1550362353675926
24,-0.2240502598183654,-0.02133264894576807,-0.15540988627479993,-0.14924576687548258
25,-0.22136775423734978,-0.022805356669077598,-0.15881138074061837,-0.3082264237999949
26,-0.21699567243708726,-0.02438437440557183,-0.16202335941306917,-0.2808969776864378
27,-0.2106383652868771,-0.026081783748933288,-0.16504407701836907,-0.0226800381297117
28,-0.20191995585329592,-0.027910647742369284,-0.1678716026768836,0.37863864279637144
29,-0.1903997354235644,-0.029884763095142028,-0.17050383491688867,0.477898249349976
30,-0.17564554867421092,-0.032018120780531824,-0.17293851354483675,0.3606677715135304
31,-0.15738739260331186,-0.03432386405470149,-0.1751732288955695,0.1824279007166045
32,-0.13568999714045468,-0.03681238394273673,-0.17720542886820154,-0.14761257570293093
33,-0.11098636807530633,-0.039487930295834923,-0.17903242406291944,-0.36999363092417337
34,-0.08391040965283755,-0.042342645631607306,-0.18065139126352284,-0.6717857354906228
35,-0.055080228554885806,-0.045346059609758176,-0.18205937545502304,-0.8448424917379522
36,-0.024981508497650677,-0.04842642762104114,-0.18325329052124714,-1.047927963032746
37,0.006046318421089849,-0.05143705143031374,-0.1842299187314009,-1.039524253632031
38,0.03777933827369785,-0.05409423562122151,-0.1849859090948546,-0.7876215058329628
39,0.07007311476731204,-0.05586106317354616,-0.18551777463847027,-0.5924749460572872
40,0.10283462911193203,-0.055733826261187024,-0.18582188863939697,-0.5342747935677419
41,0.13600329349807774,-0.051919517616557755,-0.18589447982749946,-0.5198302462161274
42,0.16953881792768608,-0.041805408084549904,-0.18573162655473585,-0.5210742857899326
43,0.20341361972592065,-0.02354652332064808,-0.18532924991329228,-0.47317077898840043
44,0.23760809432123747,0.0018086093584923912,-0.1846831057696666,-0.35769408553075493
45,0.27210765634158735,0.03130840170394107,-0.18378877566780913,-0.23664518602275264
46,0.306900873751894,0.06217881130414574,-0.18264165654060463,
47,0.34197828071208314,0.09271067621407184,-0.18123694915521452,
48,0.37733161585355457,0.12209731776146351,-0.17956964520398136,
49,0.4129533301116905,0.150021960234151,-0.1776345129387167,
50,0.44883626725131065,0.17638613145737642,-0.17542608123237388,
51,0.4849734561938723,0.20118109949022192,-0.1729386219386689,
52,0.5213579764107208,0.22443157500927016,-0.17016613040775558,
53,0.5579828714522101,0.2461696389336266,-0.1671023040056049,
54,0.5948410943900745,0.2664211745522297,-0.16374051847794044,
55,0.631925474509234,0.28519808312661565,-0.16007380199905066,
56,0.6692286981754463,0.30249419645961556,-0.15609480675562382,
57,0.7067432991496592,0.31828508184106724,-0.15179577794226587,
58,0.7444616551666037,0.3325330615786023,-0.14716852009841735,
59,0.7823759886251461,0.3451984316029717,-0.1422043608112945,
60,0.820478369929626,0.3562554133619154,-0.13689411197021978,
61,0.8587607224894105,0.3657077151043799,-0.13122802902205905,
62,0.8972148287025881,0.37359713505870507,-0.12519576910558441,
63,0.9358323364678798,0.38000210548047403,-0.11878634963122936,
64,0.9746047659188,0.38502895777727175,-0.11198810997981036,
65,1.0135235161774414,0.388801736651842,-0.104788680780954,
66,1.0525798719965647,0.39145514116404784,-0.09717496814019295,
67,1.091765010207832,0.39313235504187616,-0.08913316497128185,
68,1.131070005927814,0.39398769225668173,-0.08064880959059698,
69,1.1704858384964814,0.3941935967202551,-0.07170692534793247,
70,1.2100033971385042,0.39395205407118083,-0.06229229876378775,
71,1.2496134863480726,0.3935114635029434,-0.05238999596658851,
72,1.2893068310046942,0.39319145218900353,-0.0419862951710328,
